PLAYER,TEAM,AGE,RA-FGM,RA-FGA,RA-FG%,PAINT-FGM,PAINT-FGA,PAINT-FG%,MID-FGM,MID-FGA,MID-FG%,LEFT-FGM,LEFT-FGA,LEFT-FG%,RIGHT-FGM,RIGHT-FGA,RIGHT-,TOP-FGM,TOP-FGA,TOP-FG%
Bobby Brown,HOU,32,0,0,0,0,1,0,0,0,0,-,-,-,0,0,0,1,1,100
Bobby Portis,CHI,21,6,8,75,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Bojan Bogdanovic,BKN,27,28,47,59.6,0,2,0,2,9,22.2,0,5,0,2,4,50,12,32,37.5
Boris Diaw,UTA,34,9,11,81.8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Bradley Beal,WAS,23,43,57,75.4,2,7,28.6,4,10,40,6,8,75,2,5,40,26,57,45.6
Brandon Bass,LAC,31,10,11,90.9,0,0,0,1,2,50,0,0,0,0,0,0,0,0,0
Brandon Ingram,LAL,19,8,16,50,3,6,50,0,4,0,1,3,33.3,1,3,33.3,1,7,14.3
Brandon Jennings,NYK,27,13,26,50,5,8,62.5,4,6,66.7,1,1,100,2,4,50,12,38,31.6
Brandon Knight,PHX,25,23,33,69.7,4,9,44.4,9,20,45,3,6,50,1,4,25,2,9,22.2
Brandon Rush,MIN,31,1,1,100,0,0,0,0,2,0,1,2,50,0,0,0,2,5,40
Brian Roberts,CHA,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brook Lopez,BKN,28,13,17,76.5,3,6,50,1,3,33.3,0,3,0,0,0,0,8,26,30.8
Bruno Caboclo,TOR,21,0,0,0,-,-,-,0,1,0,-,-,-,-,-,-,0,0,0
Bryn Forbes,SAS,23,0,0,0,0,0,0,1,1,100,0,1,0,0,1,0,1,1,100
Buddy Hield,NOP,23,16,34,47.1,0,1,0,3,9,33.3,1,2,50,2,5,40,15,46,32.6
CJ McCollum,POR,25,14,27,51.9,10,17,58.8,15,24,62.5,2,5,40,2,3,66.7,18,40,45
