PLAYER,TEAM,AGE,RA-FGM,RA-FGA,RA-FG%,PAINT-FGM,PAINT-FGA,PAINT-FG%,MID-FGM,MID-FGA,MID-FG%,LEFT-FGM,LEFT-FGA,LEFT-FG%,RIGHT-FGM,RIGHT-FGA,RIGHT-,TOP-FGM,TOP-FGA,TOP-FG%
Juan Hernangomez,DEN,21,10,19,52.6,4,10,40,11,20,55,0,1,0,2,4,50,5,15,33.3
Julius Randle,LAL,22,31,52,59.6,12,36,33.3,19,54,35.2,4,11,36.4,4,12,33.3,22,55,40
Justin Anderson,DAL,23,13,20,65,9,22,40.9,15,29,51.7,5,7,71.4,3,5,60,8,23,34.8
Justin Hamilton,BKN,26,14,29,48.3,7,18,38.9,17,39,43.6,3,6,50,1,8,12.5,8,31,25.8
Justin Holiday,NYK,27,24,45,53.3,9,31,29,28,59,47.5,3,7,42.9,4,11,36.4,11,37,29.7
Justise Winslow,MIA,20,14,27,51.9,7,14,50,19,44,43.2,0,2,0,1,4,25,5,20,25
Jusuf Nurkic,DEN,22,20,34,58.8,4,17,23.5,14,45,31.1,0,1,0,1,5,20,9,21,42.9
KJ McDaniels,HOU,23,10,11,90.9,7,13,53.8,4,10,40,1,1,100,-,-,-,2,10,20
Karl-Anthony Towns,MIN,21,43,72,59.7,21,46,45.7,24,68,35.3,7,17,41.2,5,9,55.6,24,82,29.3
Kawhi Leonard,SAS,25,28,54,51.9,6,39,15.4,22,64,34.4,4,11,36.4,4,11,36.4,19,49,38.8
Kay Felder,CLE,21,4,12,33.3,1,7,14.3,8,16,50,0,2,0,0,3,0,6,19,31.6
Kelly Olynyk,BOS,25,21,34,61.8,15,27,55.6,16,42,38.1,3,7,42.9,1,2,50,10,38,26.3
Kelly Oubre Jr.,WAS,21,22,39,56.4,8,24,33.3,19,38,50,3,7,42.9,2,11,18.2,9,37,24.3
Kemba Walker,CHA,26,43,74,58.1,17,35,48.6,42,85,49.4,4,7,57.1,2,8,25,25,81,30.9
Kenneth Faried,DEN,27,22,45,48.9,11,33,33.3,18,42,42.9,1,4,25,2,9,22.2,10,38,26.3
Kent Bazemore,ATL,27,23,44,52.3,15,33,45.5,37,81,45.7,4,11,36.4,5,12,41.7,19,58,32.8
Kentavious Caldwell-Pope,DET,23,33,65,50.8,19,39,48.7,32,62,51.6,3,9,33.3,1,9,11.1,15,48,31.3
Kevin Durant,GSW,28,42,76,55.3,24,69,34.8,23,79,29.1,1,11,9.1,7,13,53.8,24,78,30.8
Kevin Love,CLE,28,18,42,42.9,13,40,32.5,16,49,32.7,2,11,18.2,1,12,8.3,18,55,32.7
Kevin Seraphin,IND,27,5,8,62.5,1,5,20,4,9,44.4,1,3,33.3,1,6,16.7,5,10,50
Kevon Looney,GSW,20,5,8,62.5,4,11,36.4,4,13,30.8,0,0,0,0,1,0,0,11,0
Klay Thompson,GSW,26,36,62,58.1,20,67,29.9,24,72,33.3,0,11,0,7,13,53.8,20,69,29
Kosta Koufos,SAC,27,15,23,65.2,6,20,30,14,39,35.9,8,9,88.9,3,9,33.3,15,35,42.9
Kris Dunn,MIN,22,34,46,73.9,16,29,55.2,6,35,17.1,2,7,28.6,0,4,0,12,39,30.8
Kris Humphries,ATL,31,7,16,43.8,4,10,40,10,17,58.8,1,1,100,3,6,50,9,21,42.9
Kristaps Porzingis,NYK,21,29,61,47.5,18,42,42.9,30,65,46.2,3,7,42.9,4,11,36.4,16,54,29.6
Kyle Anderson,SAS,23,12,20,60,2,11,18.2,6,18,33.3,3,7,42.9,3,6,50,9,21,42.9
Kyle Korver,CLE,35,19,46,41.3,21,40,52.5,32,60,53.3,1,5,20,4,9,44.4,20,60,33.3
Kyle Lowry,TOR,30,36,67,53.7,27,73,37,38,79,48.1,8,18,44.4,3,12,25,16,52,30.8
Kyle O'Quinn,NYK,26,19,32,59.4,9,27,33.3,19,47,40.4,0,1,0,5,6,83.3,9,25,36
Kyle Singler,OKC,28,11,17,64.7,3,8,37.5,7,15,46.7,0,2,0,0,1,0,4,18,22.2
Kyle Wiltjer,HOU,24,1,2,50,0,0,0,-,-,-,-,-,-,-,-,-,0,2,0
Kyrie Irving,CLE,24,22,48,45.8,11,38,28.9,24,60,40,3,13,23.1,1,12,8.3,18,61,29.5
LaMarcus Aldridge,SAS,31,30,49,61.2,7,40,17.5,18,61,29.5,2,9,22.2,3,10,30,16,44,36.4
Lance Stephenson,NOP,26,2,7,28.6,2,8,25,4,9,44.4,0,1,0,0,0,0,6,12,50
Lance Thomas,NYK,28,18,31,58.1,2,12,16.7,10,24,41.7,0,3,0,2,3,66.7,4,18,22.2
Langston Galloway,NOP,25,34,57,59.6,15,36,41.7,15,39,38.5,1,7,14.3,0,2,0,22,52,42.3
Larry Nance Jr.,LAL,24,22,33,66.7,9,20,45,9,31,29,2,4,50,0,3,0,7,30,23.3
Lavoy Allen,IND,27,7,11,63.6,3,8,37.5,5,17,29.4,1,3,33.3,1,2,50,8,18,44.4
LeBron James,CLE,32,26,58,44.8,16,51,31.4,28,72,38.9,1,10,10,1,13,7.7,22,65,33.8
Leandro Barbosa,PHX,34,17,29,58.6,10,14,71.4,9,29,31,1,4,25,0,1,0,8,23,34.8
Lou Williams,LAL,30,36,54,66.7,17,38,44.7,16,52,30.8,2,6,33.3,2,7,28.6,17,58,29.3
Luc Mbah a Moute,LAC,30,17,35,48.6,21,38,55.3,21,48,43.8,2,4,50,2,7,28.6,10,34,29.4
Lucas Nogueira,TOR,24,12,34,35.3,14,36,38.9,19,37,51.4,3,8,37.5,1,9,11.1,7,26,26.9
Luis Scola,BKN,36,10,15,66.7,5,9,55.6,12,21,57.1,1,3,33.3,1,4,25,1,13,7.7
Luke Babbitt,MIA,27,13,31,41.9,7,13,53.8,13,33,39.4,0,2,0,1,4,25,5,21,23.8
Luol Deng,LAL,31,29,53,54.7,15,35,42.9,22,65,33.8,2,8,25,3,7,42.9,26,62,41.9
Malachi Richardson,SAC,21,1,1,100,2,3,66.7,4,6,66.7,1,2,50,0,1,0,4,6,66.7
Malcolm Brogdon,MIL,24,36,59,61,9,28,32.1,15,53,28.3,6,13,46.2,4,13,30.8,24,62,38.7
Malcolm Delaney,ATL,27,20,31,64.5,8,21,38.1,17,37,45.9,2,7,28.6,3,8,37.5,17,44,38.6
Malik Beasley,DEN,20,1,3,33.3,1,3,33.3,0,5,0,-,-,-,0,1,0,0,1,0
Manu Ginobili,SAS,39,16,26,61.5,8,21,38.1,12,28,42.9,2,5,40,3,7,42.9,11,26,42.3
Marc Gasol,MEM,32,40,71,56.3,24,54,44.4,31,74,41.9,5,11,45.5,7,16,43.8,23,90,25.6
Marcelo Huertas,LAL,33,7,12,58.3,2,7,28.6,2,10,20,0,0,0,1,2,50,8,15,53.3
Marcin Gortat,WAS,32,27,47,57.4,18,44,40.9,41,96,42.7,7,14,50,5,14,35.7,27,78,34.6
Marco Belinelli,CHA,30,27,50,54,13,26,50,23,41,56.1,7,8,87.5,3,3,100,21,56,37.5
Marcus Morris,DET,27,35,63,55.6,19,39,48.7,36,71,50.7,4,8,50,1,8,12.5,16,54,29.6
Marcus Smart,BOS,22,26,50,52,17,42,40.5,35,75,46.7,2,8,25,1,6,16.7,24,68,35.3
Marcus Thornton,WAS,29,16,19,84.2,4,15,26.7,11,24,45.8,4,7,57.1,1,4,25,11,26,42.3
Mario Hezonja,ORL,21,8,13,61.5,4,9,44.4,9,21,42.9,0,1,0,1,4,25,4,17,23.5
Markieff Morris,WAS,27,32,54,59.3,19,39,48.7,32,81,39.5,6,16,37.5,4,10,40,27,71,38
Marquese Chriss,PHX,19,21,40,52.5,12,24,50,25,54,46.3,3,3,100,1,4,25,9,32,28.1
Marreese Speights,LAC,29,24,42,57.1,11,26,42.3,18,41,43.9,1,4,25,0,0,0,12,27,44.4
Marshall Plumlee,NYK,24,1,3,33.3,1,1,100,2,4,50,-,-,-,-,-,-,0,1,0
Marvin Williams,CHA,30,31,55,56.4,7,23,30.4,30,66,45.5,2,4,50,3,9,33.3,20,54,37
Mason Plumlee,POR,26,30,55,54.5,9,31,29,29,66,43.9,5,13,38.5,1,5,20,19,47,40.4
Matt Barnes,SAC,36,34,54,63,13,28,46.4,18,44,40.9,7,11,63.6,3,5,60,22,55,40
Matthew Dellavedova,MIL,26,30,59,50.8,11,25,44,18,58,31,4,9,44.4,6,17,35.3,24,58,41.4
Maurice Harkless,POR,23,26,51,51,10,29,34.5,27,65,41.5,4,12,33.3,2,7,28.6,19,50,38
Maurice Ndour,NYK,24,3,9,33.3,2,4,50,9,17,52.9,0,0,0,1,1,100,1,5,20
Metta World Peace,LAL,37,4,7,57.1,1,2,50,1,4,25,-,-,-,1,1,100,7,11,63.6
Meyers Leonard,POR,24,15,25,60,9,21,42.9,11,37,29.7,1,2,50,2,5,40,10,27,37
Michael Beasley,MIL,28,17,23,73.9,3,11,27.3,8,29,27.6,3,8,37.5,2,10,20,12,38,31.6
Michael Carter-Williams,CHI,25,7,19,36.8,6,15,40,11,22,50,1,2,50,1,1,100,2,5,40
Michael Gbinije,DET,24,0,0,0,-,-,-,0,1,0,-,-,-,-,-,-,0,2,0
Michael Kidd-Gilchrist,CHA,23,33,65,50.8,11,30,36.7,40,79,50.6,4,6,66.7,2,8,25,22,75,29.3
Mike Conley,MEM,29,35,60,58.3,18,36,50,22,53,41.5,4,10,40,5,11,45.5,16,69,23.2
Mike Dunleavy,ATL,36,12,18,66.7,7,16,43.8,11,31,35.5,0,2,0,3,5,60,12,26,46.2
Mike Miller,DEN,36,4,4,100,0,3,0,1,4,25,-,-,-,-,-,-,0,0,0
Mike Muscala,ATL,25,14,32,43.8,10,17,58.8,18,37,48.6,1,5,20,3,8,37.5,19,49,38.8
