PLAYER,TEAM,AGE,GP,G,FREQ,FGM,FGA,FG%,EFG%,2FG FREQ,2FGM,2FGA,2FG%,3FG FREQ,3PM,3PA,3P%
Caris LeVert,BKN,23,48,45,23.00%,38,104,36.5,54.3,0.40%,1,2,50,22.60%,37,102,36.3
Carmelo Anthony,OKC,33,52,52,40.40%,124,307,40.4,55.2,8.40%,33,64,51.6,32.00%,91,243,37.4
Cedi Osman,CLE,22,44,20,42.90%,16,39,41,61.5,1.10%,0,1,0,41.80%,16,38,42.1
Chandler Parsons,MEM,29,26,26,42.10%,29,72,40.3,60.4,2.90%,0,5,0,39.20%,29,67,43.3
Channing Frye,LAL,34,44,40,65.10%,39,108,36.1,49.5,14.50%,10,24,41.7,50.60%,29,84,34.5
Charles Cooke,NOP,23,7,3,37.50%,1,3,33.3,50,0.00%,0,0,-,37.50%,1,3,33.3
Cheick Diallo,NOP,21,28,9,18.10%,5,13,38.5,38.5,18.10%,5,13,38.5,0.00%,0,0,-
Chris McCullough,WAS,23,18,6,25.60%,2,10,20,25,10.30%,1,4,25,15.40%,1,6,16.7
Chris Paul,HOU,32,37,26,9.20%,20,47,42.6,62.8,0.80%,1,4,25,8.40%,19,43,44.2
Clint Capela,HOU,23,50,2,0.50%,1,2,50,50,0.50%,1,2,50,0.00%,0,0,-
Cody Zeller,CHA,25,25,16,21.00%,9,21,42.9,47.6,19.00%,7,19,36.8,2.00%,2,2,100
Corey Brewer,LAL,31,51,27,26.50%,8,39,20.5,30.8,0.70%,0,1,0,25.90%,8,38,21.1
Cory Joseph,IND,26,57,49,31.00%,44,116,37.9,55.2,2.70%,4,10,40,28.30%,40,106,37.7
Courtney Lee,NYK,32,56,56,33.80%,83,197,42.1,58.6,6.50%,18,38,47.4,27.30%,65,159,40.9
Cristiano Felicio,CHI,25,30,6,9.50%,1,7,14.3,14.3,9.50%,1,7,14.3,0.00%,0,0,-
D'Angelo Russell,BKN,21,23,20,15.20%,15,47,31.9,47.9,0.30%,0,1,0,14.90%,15,46,32.6
D.J. Augustin,ORL,30,48,39,32.00%,36,89,40.4,60.7,0.00%,0,0,-,32.00%,36,89,40.4
D.J. Wilson,MIL,21,18,6,50.00%,2,6,33.3,50,8.30%,0,1,0,41.70%,2,5,40
Dakari Johnson,OKC,22,24,4,13.30%,3,4,75,75,13.30%,3,4,75,0.00%,0,0,-
Damian Lillard,POR,27,50,49,17.30%,60,153,39.2,52.6,3.30%,19,29,65.5,14.00%,41,124,33.1
Damien Wilkins,IND,38,19,10,41.00%,3,16,18.8,28.1,0.00%,0,0,-,41.00%,3,16,18.8
Damyean Dotson,NYK,23,25,15,48.50%,11,32,34.4,45.3,16.70%,4,11,36.4,31.80%,7,21,33.3
Daniel Hamilton,OKC,22,4,2,30.00%,1,3,33.3,50,0.00%,0,0,-,30.00%,1,3,33.3
Daniel Theis,BOS,25,53,39,43.70%,31,80,38.8,48.1,16.40%,16,30,53.3,27.30%,15,50,30
Danilo Gallinari,LAC,29,16,16,46.90%,33,92,35.9,48.9,7.70%,9,15,60,39.30%,24,77,31.2
Danny Green,SAS,30,46,45,50.10%,69,183,37.7,56.3,2.50%,1,9,11.1,47.70%,68,174,39.1
Dante Cunningham,BKN,30,52,44,59.90%,44,127,34.6,48.4,9.00%,9,19,47.4,50.90%,35,108,32.4
Danuel House,PHX,24,16,13,37.90%,6,22,27.3,40.9,1.70%,0,1,0,36.20%,6,21,28.6
Dario Saric,PHI,23,51,51,53.10%,113,294,38.4,54.8,9.00%,17,50,34,44.00%,96,244,39.3
Darius Miller,NOP,27,55,53,69.20%,94,220,42.7,63.4,1.90%,3,6,50,67.30%,91,214,42.5
Darrell Arthur,DEN,29,13,9,64.90%,11,24,45.8,56.3,21.60%,6,8,75,43.20%,5,16,31.3
Darren Collison,IND,30,52,47,23.90%,50,112,44.6,64.7,2.60%,5,12,41.7,21.30%,45,100,45
Darrun Hilliard,SAS,24,13,4,25.00%,0,4,0,0,0.00%,0,0,-,25.00%,0,4,0
David Nwaba,CHI,25,43,14,8.70%,5,16,31.3,46.9,0.00%,0,0,-,8.70%,5,16,31.3
David West,GSW,37,52,38,33.10%,51,86,59.3,60.5,31.20%,49,81,60.5,1.90%,2,5,40
Davis Bertans,SAS,25,53,44,64.40%,68,168,40.5,59.8,2.30%,3,6,50,62.10%,65,162,40.1
Davon Reed,PHX,22,6,3,36.40%,2,4,50,75,0.00%,0,0,-,36.40%,2,4,50
De'Aaron Fox,SAC,20,48,33,12.60%,21,58,36.2,50.9,1.70%,4,8,50,10.80%,17,50,34
DeAndre Liggins,NOP,29,37,24,60.30%,16,47,34,47.9,10.30%,3,8,37.5,50.00%,13,39,33.3
DeAndre' Bembry,ATL,23,17,10,21.80%,7,17,41.2,61.8,0.00%,0,0,-,21.80%,7,17,41.2
DeMar DeRozan,TOR,28,55,52,15.60%,61,148,41.2,55.4,4.10%,19,39,48.7,11.50%,42,109,38.5
DeMarcus Cousins,NOP,27,48,48,32.90%,96,264,36.4,53.8,1.50%,4,12,33.3,31.40%,92,252,36.5
DeMarre Carroll,BKN,31,50,50,43.20%,80,216,37,55.3,1.20%,1,6,16.7,42.00%,79,210,37.6
Dejounte Murray,SAS,21,56,20,6.70%,6,23,26.1,34.8,1.50%,2,5,40,5.20%,4,18,22.2
Delon Wright,TOR,25,43,33,21.80%,20,56,35.7,53.6,0.40%,0,1,0,21.40%,20,55,36.4
Demetrius Jackson,PHI,23,12,3,33.30%,0,4,0,0,0.00%,0,0,-,33.30%,0,4,0
Dennis Schroder,ATL,24,53,50,14.20%,33,117,28.2,37.2,3.50%,12,29,41.4,10.70%,21,88,23.9
Dennis Smith Jr.,DAL,20,49,46,16.40%,38,103,36.9,55.3,0.30%,0,2,0,16.10%,38,101,37.6
Denzel Valentine,CHI,24,55,52,34.00%,62,165,37.6,55.2,1.90%,4,9,44.4,32.10%,58,156,37.2
Derrick Favors,UTA,26,53,49,30.50%,48,141,34,36.2,24.50%,42,113,37.2,6.10%,6,28,21.4
Derrick Jones Jr.,MIA,20,16,11,37.50%,2,15,13.3,20,0.00%,0,0,-,37.50%,2,15,13.3
Derrick Rose,CLE,29,16,10,14.00%,3,17,17.6,26.5,0.00%,0,0,-,14.00%,3,17,17.6
Derrick Walton Jr.,MIA,22,14,7,52.20%,5,12,41.7,62.5,4.30%,0,1,0,47.80%,5,11,45.5
Derrick White,SAS,23,15,6,29.20%,2,7,28.6,42.9,8.30%,0,2,0,20.80%,2,5,40
Devin Booker,PHX,21,43,42,21.90%,69,167,41.3,57.8,3.90%,14,30,46.7,18.00%,55,137,40.1
Devin Harris,DEN,34,45,38,32.10%,37,88,42,62.5,0.40%,1,1,100,31.80%,36,87,41.4
Dewayne Dedmon,ATL,28,37,36,46.50%,58,125,46.4,57.6,20.10%,30,54,55.6,26.40%,28,71,39.4
