PLAYER,TEAM,AGE,GP,G,FREQ,FGM,FGA,FG%,EFG%,2FG FREQ,2FGM,2FGA,2FG%,3FG FREQ,3PM,3PA,3P%
Nerlens Noel,DAL,23,18,1,2.10%,0,1,0,0,2.10%,0,1,0,0.00%,0,0,-
Nick Young,GSW,32,54,46,39.40%,45,111,40.5,51.4,16.00%,21,45,46.7,23.40%,24,66,36.4
Nicolas Batum,CHA,29,42,40,44.70%,77,198,38.9,41.2,35.20%,68,156,43.6,9.50%,9,42,21.4
Nik Stauskas,BKN,24,30,20,39.10%,16,45,35.6,50,11.30%,3,13,23.1,27.80%,13,32,40.6
Nikola Jokic,DEN,22,49,37,8.70%,23,51,45.1,52,5.40%,16,32,50,3.20%,7,19,36.8
Nikola Mirotic,NOP,27,29,27,26.40%,40,89,44.9,54.5,16.00%,23,54,42.6,10.40%,17,35,48.6
Nikola Vucevic,ORL,27,34,25,8.20%,13,40,32.5,32.5,8.00%,13,39,33.3,0.20%,0,1,0
Noah Vonleh,CHI,22,33,6,8.00%,4,7,57.1,64.3,5.70%,3,5,60,2.30%,1,2,50
Norman Powell,TOR,24,47,27,19.00%,17,49,34.7,41.8,8.90%,10,23,43.5,10.10%,7,26,26.9
OG Anunoby,TOR,20,55,14,7.10%,4,18,22.2,33.3,2.80%,0,7,0,4.40%,4,11,36.4
Okaro White,MIA,25,6,1,6.70%,1,1,100,100,6.70%,1,1,100,0.00%,0,0,-
Omri Casspi,GSW,29,43,6,3.70%,3,6,50,58.3,2.50%,2,4,50,1.20%,1,2,50
Otto Porter Jr.,WAS,24,52,48,27.20%,72,157,45.9,50.3,22.50%,58,130,44.6,4.70%,14,27,51.9
PJ Dozier,OKC,21,2,1,50.00%,0,1,0,0,50.00%,0,1,0,0.00%,0,0,-
PJ Tucker,HOU,32,55,10,5.20%,3,13,23.1,30.8,2.40%,1,6,16.7,2.80%,2,7,28.6
Pascal Siakam,TOR,23,54,4,1.70%,2,5,40,40,1.30%,2,4,50,0.30%,0,1,0
Pat Connaughton,POR,25,57,33,16.40%,20,47,42.6,47.9,11.10%,15,32,46.9,5.20%,5,15,33.3
Patrick Beverley,LAC,29,11,10,26.10%,8,30,26.7,35,11.30%,3,13,23.1,14.80%,5,17,29.4
Patrick McCaw,GSW,22,50,17,11.70%,2,18,11.1,11.1,5.80%,2,9,22.2,5.80%,0,9,0
Patrick Patterson,OKC,28,55,9,5.40%,3,9,33.3,33.3,4.80%,3,8,37.5,0.60%,0,1,0
