PLAYER,TEAM,AGE,RA-FGM,RA-FGA,RA-FG%,PAINT-FGM,PAINT-FGA,PAINT-FG%,MID-FGM,MID-FGA,MID-FG%,LEFT-FGM,LEFT-FGA,LEFT-FG%,RIGHT-FGM,RIGHT-FGA,RIGHT-,TOP-FGM,TOP-FGA,TOP-FG%
Ian Mahinmi,WAS,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iman Shumpert,CLE,26,8,10,80,1,4,25,4,14,28.6,6,7,85.7,2,6,33.3,12,25,48
Isaiah Canaan,CHI,25,2,3,66.7,1,2,50,1,2,50,0,0,0,0,3,0,1,5,20
Isaiah Thomas,BOS,27,34,60,56.7,9,17,52.9,10,14,71.4,0,1,0,3,8,37.5,18,49,36.7
Isaiah Whitehead,BKN,21,7,22,31.8,0,4,0,1,5,20,0,1,0,0,0,0,6,12,50
Ish Smith,DET,28,11,23,47.8,7,14,50,2,12,16.7,0,2,0,0,1,0,2,5,40
Ivica Zubac,LAL,19,3,9,33.3,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0
J.J. Barea,DAL,32,8,12,66.7,3,9,33.3,4,7,57.1,0,0,0,0,0,0,5,12,41.7
JJ Redick,LAC,32,3,9,33.3,1,2,50,15,35,42.9,1,4,25,2,6,33.3,22,47,46.8
JR Smith,CLE,31,2,3,66.7,0,0,0,0,2,0,0,2,0,2,6,33.3,3,15,20
JaMychal Green,MEM,26,13,18,72.2,1,2,50,4,9,44.4,3,5,60,0,1,0,1,5,20
JaVale McGee,GSW,29,20,22,90.9,2,3,66.7,2,2,100,0,0,0,0,0,0,0,0,0
Jabari Parker,MIL,21,40,66,60.6,5,18,27.8,16,41,39,2,6,33.3,4,5,80,10,28,35.7
Jae Crowder,BOS,26,11,14,78.6,1,1,100,3,6,50,1,4,25,2,4,50,8,22,36.4
Jahlil Okafor,PHI,21,14,18,77.8,3,7,42.9,2,6,33.3,0,0,0,0,0,0,0,0,0
Jake Layman,POR,22,1,1,100,0,0,0,0,1,0,-,-,-,0,0,0,0,0,0
Jakob Poeltl,TOR,21,5,7,71.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamal Crawford,LAC,36,6,11,54.5,4,16,25,17,42,40.5,1,1,100,0,3,0,6,12,50
Jamal Murray,DEN,19,8,10,80,1,3,33.3,2,11,18.2,1,3,33.3,2,5,40,5,19,26.3
